total_points,MP,GS,A,CS,GC,OG,PM,YC,RC,B,BPS,I,C,T,II,I Form,C Form,T Form,II Form,P Form,Venue,NT,SB,xG,xGA,FDR,total points_1
8,86,1,0,1,1,0,0,0,0,0,20,47.6,29,92,16.9,21.53333333,23.63333333,60.66666667,10.46666667,5.5,1,0,2478960,1.6,0.2,2,8
9,90,0,2,1,0,0,0,0,0,0,22,30.6,41.5,81,15.3,37.4,27.13333333,61,12.56666667,5.75,0,38860,2799491,0.7,0.9,2,9
8,90,1,0,1,1,0,0,0,0,0,28,49,72,82,20.3,47.26666667,36.36666667,84.33333333,16.8,7.25,1,5370,2892383,0.4,0.3,1,8
2,70,0,0,0,0,0,0,0,0,0,7,5,12.5,23,4.1,42.4,47.5,85,17.5,9,0,32547,2995784,0.4,0.1,2,2
2,90,0,0,0,1,0,0,0,0,0,7,16,31.8,74,12.2,28.2,42,62,13.23333333,6.75,0,-261759,2754458,0.2,0.2,4,2
8,90,1,0,1,1,0,0,0,0,0,18,34,2.9,60,9.7,23.33333333,38.76666667,59.66666667,12.2,5.25,1,-352832,2419608,1.4,0,1,8
2,65,0,0,0,0,0,0,0,0,0,8,9.4,25.7,40,7.5,18.33333333,15.73333333,52.33333333,8.666666667,5,0,-106042,2330574,0.4,0.1,4,2
3,90,0,0,1,1,0,0,0,0,0,1,0,1.9,31,3.3,19.8,20.13333333,58,9.8,3.5,1,-338250,1992452,0.2,0,4,3
8,90,1,0,1,0,0,0,0,0,0,26,43,12.5,76,13.2,14.46666667,10.16666667,43.66666667,6.833333333,3.75,0,-321994,1681931,0.5,0,2,8
15,90,1,2,0,1,0,0,0,0,2,47,72.4,45.8,56,17.4,17.46666667,13.36666667,49,8,5.25,1,251072,1978411,0.5,1,1,15
2,90,0,0,0,1,0,0,0,0,0,11,12.8,53.7,49,11.6,38.46666667,20.06666667,54.33333333,11.3,7,0,81044,2050707,0.1,0.4,4,2
8,90,1,0,1,1,0,0,0,0,0,21,41.6,6.3,83,13.1,42.73333333,37.33333333,60.33333333,14.06666667,7,1,24344,2089855,1,0,1,8
8,85,1,0,1,0,0,0,0,0,0,22,39.8,4,40,8.4,42.26666667,35.26666667,62.66666667,14.03333333,8.25,0,36210,2135344,0.2,0,1,8
3,74,0,0,1,0,0,0,0,0,0,14,6,49.5,9,6.5,31.4,21.33333333,57.33333333,11.03333333,8.25,1,-12104,2120181,0,0.4,2,3
4,25,0,1,0,0,0,0,0,0,0,14,28.4,35.3,56,12,29.13333333,19.93333333,44,9.333333333,5.25,0,-46474,2077373,0.3,0.7,1,4
21,90,3,0,1,0,0,0,0,0,3,70,107,28.9,83,21.9,24.73333333,29.6,35,8.966666667,5.75,0,-32078,2055754,1.2,0.1,2,21
2,90,0,0,0,0,0,0,0,0,0,4,9.8,43.5,29,8.2,47.13333333,37.9,49.33333333,13.46666667,9,1,91147,2155631,0.1,0.2,3,2
12,90,1,1,1,0,0,0,0,0,1,32,64.8,40.8,103,20.9,48.4,35.9,56,14.03333333,7.5,0,28722,2193139,0.4,0.4,3,12
12,90,1,1,1,0,0,0,0,0,1,32,52.2,32,31,11.5,60.53333333,37.73333333,71.66666667,17,9.75,1,154487,2367967,0.8,0.3,1,12
12,90,1,1,0,0,0,0,0,0,2,31,55.4,26.4,61,14.3,42.26666667,38.76666667,54.33333333,13.53333333,11.75,1,46135,2413827,1,0.7,3,12
2,90,0,0,0,0,0,0,0,0,0,5,6.4,16.8,23,4.6,57.46666667,33.06666667,65,15.56666667,9.5,0,67720,2489006,0.2,0.3,5,2
11,90,1,0,1,0,0,0,0,0,3,31,46.4,35.4,52,13.4,38,25.06666667,38.33333333,10.13333333,9.5,0,130655,2644016,1.1,0.2,2,11
15,90,2,0,0,1,0,0,0,0,3,41,73.2,21,68,16.2,36.06666667,26.2,45.33333333,10.76666667,9.25,1,317868,2975722,1.3,0.2,2,15
2,90,0,0,0,0,0,0,0,0,0,2,3.4,15.8,40,5.9,42,24.4,47.66666667,11.4,10,1,145798,3128863,0.1,0.1,2,2
2,90,0,0,0,0,0,0,0,0,0,-2,7.6,13.8,48,6.9,41,24.06666667,53.33333333,11.83333333,7.5,0,-18495,3084004,0.1,0,3,2
8,90,1,0,1,0,0,0,0,0,0,23,43.2,38,63,14.4,28.06666667,16.86666667,52,9.666666667,7.5,1,15794,3138273,0.6,0.2,1,8
3,78,0,0,1,2,0,0,0,0,0,-1,0.2,4,13,1.7,18.06666667,22.53333333,50.33333333,9.066666667,6.75,0,-29114,3108127,0.1,0,4,3
3,90,0,0,1,3,0,0,0,0,0,7,15.8,9.7,67,9.3,17,18.6,41.33333333,7.666666667,3.75,1,-43453,3074260,0.2,0.5,1,3
3,90,0,0,1,1,0,0,0,0,0,-1,11.2,12.8,46,7,19.73333333,17.23333333,47.66666667,8.466666667,4,0,-161949,2912328,0.2,0,3,3
5,90,0,1,0,0,0,0,0,0,0,5,9,35.4,60,10.4,9.066666667,8.833333333,42,6,4.25,1,-75411,2840989,0.3,0.2,1,5
2,90,0,0,0,0,0,0,0,0,0,-11,4.8,5.6,66,7.6,12,19.3,57.66666667,8.9,3.5,0,-37072,2903732,0.4,0,2,2
5,90,0,1,0,4,0,0,0,0,0,9,0,2,63,6.2,8.333333333,17.93333333,57.33333333,8.333333333,3.25,1,-594933,2093873,0.3,0,3,5
6,90,1,0,0,0,0,0,1,0,0,22,37.2,32.2,51,12,4.6,14.33333333,63,8.066666667,3.75,0,52512,2306111,0.1,0.2,2,6
8,89,1,0,1,1,0,0,0,0,0,27,57.2,51.8,89,19.8,14,13.26666667,60,8.6,4.5,1,-113549,2179177,0.3,0.2,4,8
6,90,0,1,1,1,0,0,0,0,0,11,14.8,8.4,55,7.8,31.46666667,28.66666667,67.66666667,12.66666667,5.25,0,-23964,2151538,0.6,0,2,6
19,90,2,1,1,2,0,0,0,0,3,56,90.6,43.2,97,23.1,36.4,30.8,65,13.2,6.25,1,71136,2234076,0.9,0.5,1,19
7,72,1,0,0,3,0,0,0,0,0,24,36.2,28.5,45,11,54.2,34.46666667,80.33333333,16.9,9.75,0,29206,2265118,0.2,0.4,2,7
3,90,0,0,1,0,0,0,0,0,0,4,4.8,3.5,63,7.1,47.2,26.7,65.66666667,13.96666667,10,1,-123436,2130301,0.3,0,2,3
12,90,1,1,0,1,0,0,0,0,2,40,54.8,39.7,39,13.4,43.86666667,25.06666667,68.33333333,13.73333333,8.75,1,0,2375465,0.3,0.2,1,12
3,78,0,0,1,0,0,0,0,0,0,0,2.4,11.8,29,4.3,31.93333333,23.9,49,10.5,10.25,0,114282,2778082,0.4,0,2,3
15,90,2,0,0,1,0,0,0,0,3,43,71.2,16.6,67,15.5,20.66666667,18.33333333,43.66666667,8.266666667,6.25,1,-351541,2444065,1.4,0,3,15
6,90,0,1,1,0,0,0,0,0,0,15,27,38.4,58,12.3,42.8,22.7,45,11.06666667,8.25,0,243530,2810462,0.2,0.1,2,6
9,90,1,0,0,1,0,0,0,0,2,34,44.6,41.8,73,15.9,33.53333333,22.26666667,51.33333333,10.7,9,1,31898,2874525,0.5,0,1,9
5,90,0,1,0,1,0,0,0,0,0,11,14.8,15.3,36,6.6,47.6,32.26666667,66,14.56666667,8.25,0,-80384,2804643,0.1,0.2,4,5
3,90,0,0,1,0,0,0,0,0,0,2,7.6,13.3,68,8.9,28.8,31.83333333,55.66666667,11.6,8.75,0,48879,2889458,0.7,0,2,3
2,90,0,0,0,1,0,0,0,0,0,5,18.2,37.7,94,15,22.33333333,23.46666667,59,10.46666667,5.75,1,-92287,2797360,0.6,0.2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.53333333,22.1,66,10.16666667,4.75,0,-601424,2186184,0,0,3,0
7,84,1,0,0,1,0,0,0,0,0,25,45,15.3,93,15.3,8.6,17,54,7.966666667,2.5,1,-114968,2096834,1.2,0,3,7
2,64,0,0,0,1,0,0,0,0,0,4,0,1.2,35,3.5,21.06666667,17.66666667,62.33333333,10.1,3,0,-101601,2001830,0.7,0,2,2
8,86,1,0,0,1,0,0,0,0,1,25,45.2,3.3,48,9.7,15,5.5,42.66666667,6.266666667,2.75,1,-110997,1894445,0.3,0,4,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06666667,6.6,58.66666667,9.5,4.25,0,-233449,1659338,0,0,3,0
3,68,0,0,1,0,0,0,0,0,0,6,0.4,12.7,30,4.3,15.06666667,1.5,27.66666667,4.4,4.25,1,-43760,1632180,0.1,0.1,2,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,5.333333333,26,4.666666667,3.25,1,-49660,1585242,0,0,3,0
13,90,1,1,1,0,0,0,0,0,2,34,63.2,51.5,91,20.6,0.133333333,4.233333333,10,1.433333333,2.75,0,-79042,1511749,0.7,0.7,2,13
16,90,2,0,1,0,0,0,0,0,3,38,69.8,3.9,125,19.9,21.2,21.4,40.33333333,8.3,4,1,58171,1582495,0.9,0,1,16
3,69,0,0,1,0,0,0,0,0,0,5,0,15.9,25,4,44.33333333,18.46666667,72,13.5,8,0,233179,1722996,1.1,0.7,3,3
3,90,0,0,1,0,0,0,0,0,0,0,12.6,38.5,31,8.2,44.33333333,23.76666667,80.33333333,14.83333333,8,1,63148,1787526,0.5,0.4,3,3
10,90,1,0,1,0,0,0,0,0,2,32,46.8,40.2,90,17.7,27.46666667,19.43333333,60.33333333,10.7,8.75,1,-15901,1773138,0.5,0.2,2,10
